epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5784,1.58149,2.96964,1.19019,0.345,0.41922,0.39403,0.22051,1.41957,2.95296,1.12715,0.000409357,0.000409357,0.000409357
2,16.2599,1.49148,1.99264,1.16095,0.3839,0.48562,0.46394,0.23399,1.49428,1.897,1.27123,0.000802659,0.000802659,0.000802659
3,21.8918,1.52722,1.85026,1.17381,0.35536,0.69191,0.48102,0.20411,1.79368,2.24317,1.40518,0.00117239,0.00117239,0.00117239
4,27.1984,1.57731,1.94985,1.20649,0.63505,0.53724,0.54171,0.25211,1.62266,2.66167,1.44484,0.00114393,0.00114393,0.00114393
5,32.7306,1.53534,1.67036,1.25195,0.62849,0.57344,0.6202,0.2854,1.77445,1.79461,1.52081,0.00110857,0.00110857,0.00110857
6,38.2828,1.50428,1.43522,1.20543,0.74147,0.62449,0.75367,0.39052,1.41714,1.32783,1.23597,0.00107321,0.00107321,0.00107321
7,43.7581,1.52115,1.36372,1.19892,0.8673,0.57549,0.74069,0.34394,1.77707,1.53249,1.37389,0.00103786,0.00103786,0.00103786
8,49.2229,1.52733,1.29079,1.19903,0.74292,0.68233,0.78383,0.39887,1.59496,1.21621,1.2751,0.0010025,0.0010025,0.0010025
9,54.5295,1.44921,1.21715,1.15052,0.75323,0.67894,0.73542,0.40998,1.31359,1.20307,1.15654,0.000967143,0.000967143,0.000967143
10,59.9584,1.32921,1.09668,1.10511,0.78824,0.7352,0.80136,0.47995,1.32848,1.16225,1.16487,0.000931786,0.000931786,0.000931786
11,65.3847,1.31159,0.97808,1.09409,0.78571,0.74666,0.81783,0.49074,1.38222,1.11386,1.20949,0.000896429,0.000896429,0.000896429
12,70.5761,1.28953,0.94635,1.11766,0.9099,0.67541,0.82566,0.46427,1.38812,1.07526,1.17996,0.000861071,0.000861071,0.000861071
13,75.7684,1.32769,0.95398,1.10834,0.79375,0.79058,0.83979,0.51292,1.24955,1.03701,1.11582,0.000825714,0.000825714,0.000825714
14,80.9597,1.27479,0.93699,1.09643,0.86919,0.71617,0.85827,0.51862,1.28492,1.02988,1.10833,0.000790357,0.000790357,0.000790357
15,86.1914,1.24011,0.87217,1.06069,0.89281,0.81092,0.85993,0.53945,1.23735,0.96008,1.11178,0.000755,0.000755,0.000755
16,91.3933,1.2261,0.81186,1.07062,0.94789,0.784,0.88941,0.5407,1.3071,1.01536,1.11836,0.000719643,0.000719643,0.000719643
17,96.5271,1.23846,0.80338,1.06324,0.85348,0.81746,0.87232,0.50618,1.29632,0.9619,1.10497,0.000684286,0.000684286,0.000684286
18,101.608,1.31243,0.9568,1.09684,0.76128,0.81219,0.82766,0.45537,1.41674,1.01997,1.18321,0.000648929,0.000648929,0.000648929
19,106.836,1.23485,0.83135,1.08002,0.80587,0.84725,0.8744,0.52351,1.17805,0.93154,1.08251,0.000613571,0.000613571,0.000613571
20,112.003,1.16191,0.79629,1.04226,0.87293,0.74188,0.85118,0.50901,1.3105,1.08873,1.13647,0.000578214,0.000578214,0.000578214
21,117.253,1.22696,0.78557,1.07636,0.91508,0.78094,0.89686,0.52842,1.23474,0.87991,1.09685,0.000542857,0.000542857,0.000542857
22,122.377,1.17153,0.76118,1.04173,0.90834,0.77644,0.88228,0.55307,1.27255,0.93559,1.09319,0.0005075,0.0005075,0.0005075
23,127.619,1.10771,0.70718,1.01298,0.9237,0.8015,0.87565,0.55329,1.19269,1.00029,1.07802,0.000472143,0.000472143,0.000472143
24,132.862,1.12373,0.73967,1.01778,0.89053,0.80291,0.89051,0.52947,1.29434,0.89356,1.10234,0.000436786,0.000436786,0.000436786
25,137.957,1.12814,0.68986,1.03034,0.93512,0.85564,0.91525,0.57055,1.21982,0.8596,1.09959,0.000401429,0.000401429,0.000401429
26,160.194,1.09195,0.67068,1.0085,0.93919,0.79544,0.88342,0.55437,1.25883,0.88174,1.12146,0.000366071,0.000366071,0.000366071
27,165.343,1.11937,0.7421,1.03206,0.9338,0.81443,0.8967,0.55142,1.21252,0.8831,1.08137,0.000330714,0.000330714,0.000330714
28,170.382,1.03277,0.64985,1.00099,0.87814,0.81855,0.89513,0.55043,1.21725,0.92501,1.09147,0.000295357,0.000295357,0.000295357
29,175.496,1.03063,0.62552,0.98776,0.92482,0.78577,0.90096,0.55885,1.23832,0.90311,1.09571,0.00026,0.00026,0.00026
30,180.613,1.04714,0.62364,0.98602,0.86671,0.83607,0.90602,0.56412,1.20771,0.96143,1.0807,0.000224643,0.000224643,0.000224643
31,185.817,0.97922,0.58257,0.96518,0.91025,0.83652,0.91593,0.58087,1.20718,0.86606,1.07888,0.000189286,0.000189286,0.000189286
32,190.946,0.98319,0.59106,0.98792,0.91437,0.84222,0.92196,0.58352,1.18702,0.87542,1.05258,0.000153929,0.000153929,0.000153929
33,196.111,0.9833,0.57827,0.96737,0.92125,0.85607,0.93041,0.59199,1.11065,0.78393,1.03125,0.000118571,0.000118571,0.000118571
34,201.199,0.96239,0.56219,0.95293,0.96066,0.85959,0.93691,0.60609,1.09126,0.72173,1.02627,8.32143e-05,8.32143e-05,8.32143e-05
35,206.435,0.91758,0.54376,0.95115,0.93474,0.86773,0.93704,0.60357,1.09201,0.72528,1.02931,4.78571e-05,4.78571e-05,4.78571e-05
