epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.991,1.60625,3.49744,1.21807,0.50959,0.67454,0.51721,0.30546,1.33435,1.89351,1.06873,0.000409357,0.000409357,0.000409357
2,12.7006,1.44906,1.99508,1.08517,0.62144,0.61503,0.66671,0.36262,1.31911,1.38507,1.11982,0.000802659,0.000802659,0.000802659
3,17.2047,1.46586,1.58736,1.11524,0.64552,0.72575,0.66767,0.39566,1.42484,1.30888,1.21003,0.00117239,0.00117239,0.00117239
4,21.5999,1.43285,1.44377,1.12343,0.59516,0.67002,0.69668,0.45147,1.30457,1.06111,1.16381,0.00114393,0.00114393,0.00114393
5,25.8894,1.38972,1.29585,1.09049,0.71552,0.68248,0.73331,0.42055,1.3981,1.11332,1.15449,0.00110857,0.00110857,0.00110857
6,30.1856,1.40536,1.14342,1.11341,0.81042,0.67595,0.75477,0.44304,1.18993,1.06563,1.08804,0.00107321,0.00107321,0.00107321
7,34.5715,1.39739,1.13425,1.10161,0.73992,0.74546,0.7782,0.46051,1.36524,1.45306,1.16022,0.00103786,0.00103786,0.00103786
8,38.9004,1.38008,1.09154,1.09174,0.83047,0.74078,0.79563,0.4663,1.38065,1.20605,1.13433,0.0010025,0.0010025,0.0010025
9,43.3009,1.3092,0.95969,1.0494,0.90033,0.72674,0.81305,0.48947,1.22486,1.07639,1.11421,0.000967143,0.000967143,0.000967143
10,47.8055,1.29993,0.9537,1.04577,0.88478,0.69674,0.79961,0.47641,1.29012,0.98061,1.11848,0.000931786,0.000931786,0.000931786
11,52.0767,1.26078,0.91258,1.03123,0.85539,0.70267,0.78938,0.48006,1.3389,1.03898,1.15701,0.000896429,0.000896429,0.000896429
12,56.2472,1.22514,0.81964,1.02642,0.95152,0.73711,0.81899,0.48554,1.38124,0.96182,1.15543,0.000861071,0.000861071,0.000861071
13,60.4506,1.21897,0.85433,1.01405,0.86345,0.76841,0.83521,0.52527,1.34077,0.93702,1.10615,0.000825714,0.000825714,0.000825714
14,64.7907,1.18959,0.75399,1.02377,0.8801,0.80705,0.85231,0.50729,1.45431,1.02616,1.17546,0.000790357,0.000790357,0.000790357
15,68.9443,1.19993,0.81895,1.00932,0.90228,0.82238,0.89599,0.55189,1.41584,0.99207,1.15089,0.000755,0.000755,0.000755
16,73.246,1.17589,0.77527,1.00418,0.75525,0.81434,0.84214,0.48769,1.25294,0.99717,1.10341,0.000719643,0.000719643,0.000719643
17,77.6063,1.19244,0.83811,0.99935,0.91515,0.84373,0.88884,0.54018,1.27193,0.86433,1.08902,0.000684286,0.000684286,0.000684286
18,81.8557,1.20992,0.82438,1.02133,0.94911,0.78838,0.88147,0.55261,1.2529,0.82922,1.0734,0.000648929,0.000648929,0.000648929
19,86.0269,1.12905,0.72432,0.98973,0.83565,0.81597,0.86654,0.54358,1.29543,0.93489,1.09453,0.000613571,0.000613571,0.000613571
20,90.4273,1.10235,0.70627,0.99308,0.93826,0.76221,0.87894,0.53969,1.29093,0.99285,1.10776,0.000578214,0.000578214,0.000578214
21,94.8144,1.10666,0.69068,0.99108,0.92089,0.75878,0.85152,0.52903,1.25337,1.15922,1.10351,0.000542857,0.000542857,0.000542857
22,99.0329,1.09148,0.66832,0.97715,0.88531,0.78983,0.8784,0.56708,1.28151,0.98812,1.10002,0.0005075,0.0005075,0.0005075
23,103.378,1.11264,0.68627,0.97168,0.95173,0.75454,0.8803,0.54599,1.31529,0.89902,1.12329,0.000472143,0.000472143,0.000472143
24,107.86,1.07479,0.69357,0.96073,0.84621,0.81416,0.88157,0.54591,1.26448,0.79599,1.09556,0.000436786,0.000436786,0.000436786
25,112.078,1.07226,0.63557,0.96036,0.92229,0.81912,0.90415,0.56995,1.16667,0.72571,1.06564,0.000401429,0.000401429,0.000401429
26,132.361,1.04357,0.62629,0.94192,0.92903,0.80952,0.90001,0.57625,1.16166,0.74252,1.07687,0.000366071,0.000366071,0.000366071
27,136.796,1.02297,0.66045,0.94418,0.95995,0.7947,0.88538,0.56608,1.1975,0.74507,1.07775,0.000330714,0.000330714,0.000330714
28,141.004,1.02244,0.61043,0.94894,0.95184,0.81779,0.90015,0.57308,1.21549,0.88257,1.09826,0.000295357,0.000295357,0.000295357
29,145.237,0.98645,0.58422,0.93743,0.88671,0.85388,0.91468,0.57585,1.2367,0.90987,1.07776,0.00026,0.00026,0.00026
30,149.56,0.97154,0.5709,0.92077,0.88583,0.8768,0.90746,0.56218,1.23222,0.84,1.09023,0.000224643,0.000224643,0.000224643
31,154.029,0.95296,0.56817,0.91482,0.94738,0.8003,0.89403,0.55553,1.2272,0.86984,1.09436,0.000189286,0.000189286,0.000189286
32,158.294,0.9504,0.56186,0.93689,0.95541,0.7978,0.90337,0.56878,1.19051,0.81896,1.08466,0.000153929,0.000153929,0.000153929
33,162.641,0.98487,0.55254,0.92665,0.86751,0.8844,0.91407,0.59528,1.16598,0.77067,1.09719,0.000118571,0.000118571,0.000118571
34,167.029,0.94914,0.53877,0.91504,0.86751,0.884,0.91392,0.59143,1.14921,0.76045,1.09244,8.32143e-05,8.32143e-05,8.32143e-05
35,171.224,0.91042,0.50716,0.91215,0.87817,0.8879,0.92275,0.58926,1.14081,0.76678,1.07677,4.78571e-05,4.78571e-05,4.78571e-05
