epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2116,1.73263,2.554,1.27074,0.47357,0.62293,0.56371,0.31216,1.38976,1.74857,1.15605,0.000412979,0.000412979,0.000412979
2,30.9917,1.50193,2.04784,1.16979,0.5773,0.61165,0.59521,0.31809,1.41566,1.78617,1.22943,0.000788579,0.000788579,0.000788579
3,43.7895,1.49945,1.67686,1.21807,0.66669,0.54611,0.63891,0.32314,1.43358,1.49906,1.24605,0.00112293,0.00112293,0.00112293
4,56.2391,1.66865,1.81752,1.32705,0.55792,0.56012,0.6169,0.30178,1.50816,1.75873,1.29623,0.00106437,0.00106437,0.00106437
5,68.6193,1.5855,1.76677,1.2631,0.61989,0.54673,0.52681,0.27094,1.53921,1.76633,1.2517,0.0010025,0.0010025,0.0010025
6,81.0013,1.52156,1.50743,1.19529,0.5574,0.66062,0.56379,0.27448,1.56445,1.38117,1.35438,0.000940625,0.000940625,0.000940625
7,93.3622,1.47612,1.36948,1.18666,0.65944,0.68792,0.76879,0.4208,1.33883,1.20922,1.18582,0.00087875,0.00087875,0.00087875
8,105.997,1.48888,1.42359,1.22441,0.71485,0.70203,0.77507,0.41348,1.3184,1.22176,1.17473,0.000816875,0.000816875,0.000816875
9,118.401,1.34647,1.21357,1.15835,0.79434,0.73951,0.79663,0.46921,1.32531,1.08999,1.18267,0.000755,0.000755,0.000755
10,130.819,1.37432,1.11849,1.1656,0.8273,0.62754,0.76272,0.45589,1.36518,1.10961,1.23105,0.000693125,0.000693125,0.000693125
11,158.869,1.34634,1.04624,1.15654,0.78708,0.61434,0.73289,0.40829,1.43113,1.12762,1.2091,0.00063125,0.00063125,0.00063125
12,171.303,1.35314,1.01384,1.15252,0.73285,0.76336,0.80397,0.47186,1.36049,1.09071,1.18294,0.000569375,0.000569375,0.000569375
13,183.925,1.28875,0.95713,1.12268,0.86189,0.72207,0.81187,0.47206,1.31232,1.05622,1.15873,0.0005075,0.0005075,0.0005075
14,196.482,1.29226,0.94633,1.12761,0.80699,0.75342,0.83848,0.47998,1.33839,1.02639,1.17394,0.000445625,0.000445625,0.000445625
15,209.096,1.29134,0.99136,1.12905,0.77767,0.77825,0.8099,0.47075,1.33549,1.03777,1.18331,0.00038375,0.00038375,0.00038375
16,221.468,1.25331,0.89467,1.09694,0.88183,0.79062,0.84522,0.50271,1.2865,0.98557,1.16746,0.000321875,0.000321875,0.000321875
17,234.516,1.19635,0.85475,1.08301,0.88743,0.78063,0.86558,0.5295,1.23156,0.95831,1.13547,0.00026,0.00026,0.00026
18,247.559,1.17949,0.78658,1.07986,0.84104,0.81791,0.8659,0.53691,1.24132,0.94158,1.1393,0.000198125,0.000198125,0.000198125
19,260.605,1.17136,0.75458,1.06428,0.80049,0.84828,0.87406,0.55171,1.20322,0.89968,1.12285,0.00013625,0.00013625,0.00013625
20,273.789,1.14452,0.7363,1.07281,0.87128,0.8514,0.89166,0.5575,1.21411,0.88427,1.11771,7.4375e-05,7.4375e-05,7.4375e-05
